YML043C	13	1	682300
YPL247C	16	1	334800
YLR068W	12	1	574400
YMR279C	13	512200	924400
YNL182C	14	1	722500
YGL114W	7	1	541600
YER027C	5	1	528300
YER167W	5	1	576874
YDL013W	4	212200	643100
YMR104C	13	145300	707400
YGL044C	7	400	742900
YER107C	5	1	576874
YPL237W	16	1	380400
YDL195W	4	1	411500
YNL199C	14	1	525700
YDR117C	4	356100	1009400
YGR282C	7	779300	1090900
YCR026C	3	1	195200
YBL052C	2	1	437200
YEL047C	5	1	538000
YKL218C	11	1	288900
YPR016C	16	290900	948066
YLR037C	12	1	292300
YLL019C	12	1	577800
YGR235C	7	583300	1090900
YDR068W	4	217600	1167400
YOL159C-A	15	1	269300
YGL134W	7	1	627100
YCR039C	3	51900	316600
YBR009C	2	1	467600
YCL001W-A	3	53400	316600
YLR406C-A	12	435100	1078177
YML072C	13	1	462400
YDR142C	4	521200	1098400
YKR026C	11	1	666800
YFL044C	6	1	270161
YJR043C	10	127400	745751
YPL263C	16	1	193900
YJR012C	10	1	745751
YPL005W	16	70100	948066
YJL078C	10	31400	558100
YBL085W	2	1	358300
YKL173W	11	1	373000
YOR353C	15	430000	1091291
YGR200C	7	487100	1090900
YFL011W	6	26800	270161
YLR383W	12	520400	1078177
YKL035W	11	97000	666800
YIL127C	9	1	439888
YLR264C-A	12	560000	876700
YDR082W	4	146900	1166700
YLR067C	12	1	558400
YDR348C	4	446000	1474200
YER044C-A	5	1	315400
YDR037W	4	1	890600
YLR223C	12	117700	986500
YDR469W	4	1055900	1531900
YDR333C	4	910000	1168800
YGR040W	7	246700	956000
YKL051W	11	1	538100
YER053C-A	5	1	502700
YMR013C	13	1	572200
YPL167C	16	1	529100
YPL027W	16	130100	948066
YIR012W	9	1	439888
YLR363C	12	663200	1078177
YFL020C	6	1	270161
YNR046W	14	529800	784300
YNL328C	14	1	312500
YJL179W	10	1	350200
YJL014W	10	134400	745751
YDR219C	4	554700	1161900
YDR179C	4	1	1356600
YLR431C	12	742500	1078177
YKR046C	11	214500	666800
YGR204W	7	575900	1090900
YIL134C-A	9	1	238700
YBR200W-A	2	197500	813184
YGR217W	7	568600	1090900
YKL183W	11	1	322200
YBL098W	2	1	347200
YKL113C	11	1	521200
YGR216C	7	208100	1078353
YOR174W	15	333600	1091291
YER030W	5	1	486600
YFL002C	6	1	270161
YDR155C	4	524900	1115900
YGL181W	7	1	603800
YJL176C	10	1	475900
YJR072C	10	233100	745751
YDR047W	4	319200	849100
YKR039W	11	117800	666800
YPL087W	16	1	771300
YNL015W	14	1	784300
YPL065W	16	148600	655100
YGL003C	7	230700	741100
YJL054W	10	1	745751
YHR178W	8	145200	562600
YOR118W	15	121200	885900
YLR205C	12	290600	757700
YDR268W	4	524900	1439000
YLR283W	12	243200	920100
YPL170W	16	1	803400
YJL221C	10	1	47700
YML094W	13	1	406800
YDL117W	4	1	642800
YMR131C	13	99800	883900
YDR204W	4	431000	1166700
YBR085C-A	2	238200	518400
YDR251W	4	836900	1219300
YMR293C	13	650000	924400
YER089C	5	1	526900
YJL214W	10	1	281300
YAL038W	1	1	230200
YIL105C	9	1	410300
YNL119W	14	1	651200
YML126C	13	1	399100
YHR079C	8	1	562600
YIL150C	9	1	439888
YGL212W	7	1	530800
YGR158C	7	487500	1090900
YJR152W	10	401000	745751
YKL077W	11	1	509800
YFR046C	6	1	270161
YBR212W	2	334700	813184
YDR150W	4	397700	1166700
YLR254C	12	484600	875300
